year,adoption_mean,adoption_p5,adoption_p95,gross_excluding_vsl_mean
1,0.025455433452875226,0.0050474279239249315,0.060957837496031085,51734750.51808208
2,0.05196759571675131,0.012828027266711993,0.11296369543144673,105597821.65863776
3,0.1030700013619816,0.031672189891467556,0.2015696405798248,209404156.9757944
4,0.19205283963572262,0.07403387399967792,0.3363642149153782,390150673.1825486
5,0.32234883908092105,0.15777373287985594,0.49862488471777033,654857950.7038071
6,0.47269604186907654,0.28927911268956286,0.6484844778138371,960426217.9142808
7,0.605873745222332,0.44092504226746565,0.7550251435690909,1231242172.2831979
8,0.6986619954634101,0.5654841006836766,0.8207475215494774,1420024241.0966878
9,0.7527525092321546,0.6385778701170884,0.8583297419390483,1530126499.441374
10,0.7810603123114068,0.6728938818743032,0.8799152386937029,1587772351.6328819
