number,feature,linear_shapley_resource_allocation,linear_shapley_mortality_risk_allocation,linear_shapley_total_allocation
1,Public emergency-number education,161403707.6214962,381673338.7743099,543077046.3958061
2,School-based education,80701853.8107481,190836669.38715494,271538523.19790304
3,County/local-government education,80701853.8107481,190836669.38715494,271538523.19790304
4,Alternative-number reminder,35028305.563616276,104687230.79830377,139715536.36192006
5,Helplines tab,91952316.64662477,225487041.71303737,317439358.3596622
6,Direct 988 access,33159471.00615051,131461641.49331954,164621112.49947006
7,Direct 211 access,13618737.387959644,8210824.981741726,21829562.36970137
8,Direct local non-emergency access,3663928.927907602,2168509.1906256075,5832438.118533209
9,Global emergency numbers,64144657.51576586,11918945.544612363,76063603.06037822
10,Silent emergency text access,17686820.29520351,94011917.61362223,111698737.90882574
11,Language preference notification,11791213.530135674,62674611.742414825,74465825.2725505
12,Two-way emergency text translation,11791213.530135674,62674611.742414825,74465825.2725505
13,Enhanced location verification,155399125.1946139,547959225.1710547,703358350.3656687
14,Saved address/access information,117427775.5929209,417647471.8356894,535075247.4286103
15,Emergency medical profile,68765365.17043963,130468993.04296947,199234358.2134091
16,Emergency caller photo,27506146.068175852,52187597.21718779,79693743.28536364
17,Live emergency video,137756587.62815037,339680555.42511606,477437143.0532664
18,Emergency contact alerts,73544571.67926738,192289573.3786279,265834145.05789527
19,Secondary-call containment,15266417.40116473,15551916.079218045,30818333.480382774
20,Safety check-ins/passive monitoring,44883293.40562548,49371851.49913674,94255144.90476221
21,Zero-setup/low-friction design,196060664.68318152,501870321.64618796,697930986.3293695
22,App/platform integration,314693792.0696775,769602264.7504039,1084296056.8200812
23,Emergency-system compatibility,273661222.97872657,690574828.3332981,964236051.3120246
