family,resource_value,mortality_risk_value,total_value
behavioral health/suicide,151341946.09146568,591364304.3810133,742706250.472479
cardiac arrest,342772739.1302932,1208868892.6718853,1551641631.8021784
cardiovascular,153409649.86419308,342277774.5277695,495687424.3919626
cardiovascular/cardiac arrest,14766762.863446755,78042218.64762487,92808981.51107162
cardiovascular/stroke,73297300.10662618,112877627.59062196,186174927.69724816
caregiver crisis,2962716.6707454524,1780914.3279400186,4743630.998685471
chronic/medication access,5925433.341490905,3561828.655880037,9487261.997370942
endocrine/metabolic,12806324.222620932,14002566.20380401,26808890.426424943
environmental exposure,5925433.341490905,3561828.655880037,9487261.997370942
falls/TBI/hemorrhage,38418972.667862795,42007698.611412026,80426671.27927482
fire,46715064.26761552,156550992.12528315,203266056.39289868
fire abroad,10653703.66468921,2002838.5698578858,12656542.234547095
fire/public safety,41281489.550073855,77871212.08111194,119152701.6311858
medical abroad,53268518.32344604,10014192.849289428,63282711.17273547
medical/EMS,142672560.44237927,478310097.6351785,620982658.0775578
neurologic/seizure,40327317.25600351,65916707.591211975,106244024.84721547
obstetric/neonatal/pediatric,53537525.43672804,133880074.58971208,187417600.0264401
other abroad,10653703.66468921,2002838.5698578858,12656542.234547095
other severe illness,6403162.111310466,7001283.101902005,13404445.213212471
other time-critical,68293527.69335061,160921432.1482237,229214959.8415743
police/public safety,61272584.496799216,164426270.17052698,225698854.6673262
police/public safety abroad,31961110.994067624,6008515.709573657,37969626.70364128
respiratory,160572194.131613,356512238.7184351,517084432.85004807
sepsis/infection,75638364.17455739,186797694.06258154,262436058.23713893
social/resource emergencies,44440750.06118178,26713714.919100277,71154464.98028207
stroke/neurologic,137330396.54327902,342479226.8044568,479809623.34773576
toxicologic/endocrine,69731659.02917868,155580806.6035316,225312465.63271028
toxicologic/substance use,16612030.661936088,65586676.68832995,82198707.35026604
trauma/hemorrhage,159754354.88206974,359101676.9706201,518856031.85268986
