pathway,affected_unique_episodes,potential_variable_public_expenditure_avoided,capacity_value,gross_public_resource_value,private_household,other_direct_resource,productivity,property,qaly_unmonetized,lives,resource_total_excluding_vsl,mortality_risk_value,receiver_public_cost_per_changed_episode_mean,receiver_capacity_cost_per_changed_episode_mean,receiver_private_cost_per_changed_episode_mean,receiver_other_direct_cost_per_changed_episode_mean,receiver_total_direct_cost_per_changed_episode_mean
988/crisis connection,269855.433989043,28497431.321927372,9802239.955603035,38299671.2775304,39827676.92072826,2382384.92379598,85287621.90869789,0.0,192.59088532252008,46.60496725801636,165797355.03075254,657308207.4665977,100.56507439989049,24.48375255732952,26.556527638763235,32.482227600713315,184.08758219669656
211 social/health referral,140526.54388068357,6719160.878706814,1231796.8476326992,7950957.726339513,14572946.519775147,1803111.1358298503,34884886.30483655,0.0,56.4034787192824,2.5312016989089967,59211901.686781056,35699239.05105098,42.4251097922464,12.22951863750697,14.004297068488373,13.198955104701653,81.8578806029434
911 diversion/capacity,2058914.9806572457,709630.1009634796,10018684.35883691,10728314.45980039,101702.49394906305,102058.14569624538,1281021.3269129754,0.0,0.0,0.5127524364657658,12213096.426358674,7228363.968752025,0.7393913124853767,0.6104346814947931,0.1300258328689756,0.13031007497583136,1.6101619018249766
earlier correct 911 access,593833.3137529073,118058349.32486065,23501070.1901389,141559419.51499954,98559499.15869522,23964624.050200585,430430367.02481866,0.0,1165.7194610422516,110.63403733984175,694513909.7487141,1561862970.612725,9.870475655056405,3.897143049188451,6.962240239159263,3.1172968408695936,23.84715578427371
cardiac-arrest rapid assistance,35312.77872428683,89630235.60087352,3002687.218369858,92632922.81924339,60805325.55370837,18635123.862664804,104493803.69461608,0.0,411.34534521422256,74.26533436492703,276567175.93023264,1046826434.4330587,19.933941008248375,6.531895822770358,21.971689077346973,8.000011536543624,56.43753744490933
silent/language access,244154.84011634145,9377173.97862821,4435985.476437153,13813159.455065364,8404956.620507522,2085859.5113539733,34652092.063751504,0.0,131.28588540452446,22.198807372047916,58956067.65067837,313373058.7120741,9.98554582844494,4.810436408911814,5.192079367383511,2.799182062652097,22.78724366739236
location/responder access,457160.4325717166,43945214.65783673,18936090.68156804,62881305.33940476,36978161.579165526,9594253.031230249,111065577.64074078,32623033.08741203,496.6001081288996,61.617919578510865,253142330.67795336,868745022.2357688,6.512802275094703,3.9003923189290957,4.408849455854704,2.8008705188941345,17.622914568772636
medical data/photo/video,585830.4188537138,58541974.94146049,15968073.935506273,74510048.87696676,46289220.8737105,10055393.212720348,138419143.38760653,5787654.3307544,511.722603655819,36.97034462201528,275061460.6817585,521875972.17187786,22.568460702437868,7.876454711076568,14.016266129675452,7.911511459957786,52.372693003147674
contacts/passive monitoring,28649.903943829086,30897660.666756704,21581.534091314443,30919242.20084802,23645595.13909401,5234489.24957175,68438654.56941617,0.0,201.959616570504,9.962772731202643,128237981.15892994,141062432.8546764,394.23583905428484,66.05351599175671,160.51081441719563,70.86018254096005,691.6603520041973
U.S. traveler abroad,31276.23610091691,620086.5354364801,0.0,620086.5354364801,33372307.826742057,4768712.607821594,46267401.38299375,21879254.173282545,85.10161421267142,1.411124784024153,106907762.52627644,19864909.241020605,0.0,0.0,98.27012461699024,39.23945401779785,137.50957863478808
