system,potential_variable_public_expenditure_avoided,capacity_value,combined_public_resource
911/PSAP,14660407.836730937,11868939.264098398,26529347.100829333
EMS,41778571.16422502,10609923.410361253,52388494.57458627
fire,6257125.987020186,3074473.076517857,9331599.063538043
police,9444251.86986841,4273199.062594163,13717450.932462573
behavioral health,4744955.959798583,1556561.7726747443,6301517.732473327
Medicare,82451904.14627312,14316156.44703663,96768060.59330975
Medicaid,61767893.67989923,12668186.054893795,74436079.73479302
public hospitals,84147105.96799764,15712903.026302578,99860008.99430022
long-term care/disability,60462581.9034839,8709547.088310624,69172128.99179453
other public,21282119.49215342,4128320.9953941377,25410440.487547558
